Name,SMILES,HOMO /eV,LUMO /eV,EG /eV,Planarity,SA Score,Anionic Reorganisation Energy /eV,Cationic Reorganisation Energy /eV
735,COc1cc2c:C(C#Cc3scc4nc(C#N)cnc34):[nH]c2cc1OC,-5.270874,-3.056241,2.214633,1.0,3.358994412540584,0.2577020000026095,100000.0
757,COc1cc2c:C(C#Cc3c(C)ncc4nonc34):[nH]c2cc1OC,-5.285751,-2.880311,2.40544,1.0,3.130585851561258,100000.0,100000.0
754,COc1cc2c:C(C=Cc3nc(F)cc4nsnc34):[nH]c2cc1OC,-5.053483,-2.735891,2.317592,0.999999999891857,3.177882005407412,0.2584920000081183,0.2684670000016922
566,COc1cc2ccn(C)c2c(C#Cc2nncc3nonc23)c1OC,-5.546012,-3.174953,2.371059,1.0,3.395635851561257,100000.0,100000.0
745,COc1cc2c:C(N=Cc3occ4ncc(C#N)nc34):[nH]c2cc1OC,-5.326276,-3.268591,2.057685,0.9999703680006544,3.478874412540584,0.3000510000019858,100000.0
732,COc1cc2cc(C=NC3:occ4ncc(C#N)nc:34)[nH]c2cc1OC,-5.168753,-2.904961,2.263792,0.9999999989343328,3.3548054894636605,0.2554889999992156,0.3115509999988717
736,COc1cc2cc(C=Cc3scc4nc(C#N)cnc34)n(C)c2cc1OC,-5.01723,-2.950327,2.066903,0.9996821274994134,3.2364466411587003,0.2576150000022608,0.5184060000028694
730,COc1cc2cc(C=NC3:occ4ncc(C#N)nc:34)[nH]c2cc1OC,-5.16882,-2.904941,2.263879,0.9999999938824702,3.3548054894636605,0.2553889999981038,0.3117129999991448
672,COc1cc2cc(C=Cc3occ4ncc(C#N)nc34)n(C)c2cc1OC,-5.049356,-2.917744,2.131613,0.9999361510033364,3.2781667210787795,0.2589779999980237,0.5069190000067465
688,COc1cc2cc(C=Cc3occ4ncc(C#N)nc34)n(C)c2cc1OC,-5.0494,-2.917762,2.131637,0.9999372416428088,3.2781667210787795,0.2589710000029299,0.5069520000033663
628,COc1cc2cc(C=Nc3scc4nc(C=O)cnc34)n(C)c2cc1OC,-5.320361,-2.878058,2.442303,0.9999993215856195,3.302496391408451,0.3036940000019967,0.6619329999957699
758,COc1cc2cc(C=NC3:scc4ncc(Br)nc:34)n(C)c2cc1OC,-4.988921,-2.530079,2.458843,0.9999824138691324,3.2695739801081505,100000.0,0.3260360000131186
941,COc1cc2cc(C=Cc3cc(C=O)cc4nsnc34)[nH]c2cc1OC,-4.891654,-2.751801,2.139853,0.9999939010467735,3.0305377971559686,0.2828979999976582,0.2979600000035134
939,COc1cc2cc(C=Cc3scc4ncc(C=O)nc34)[nH]c2cc1OC,-4.869199,-2.852888,2.016311,0.9999982630801068,3.205429489463661,0.2629830000005313,0.2995149999915156
936,COc1cc2c:C(c3sc(-c4scc5ncc(C=O)nc45)cc3OC):[nH]c2cc1OC,-4.686271,-2.953787,1.732485,0.9999926858336972,3.239527558399286,0.2424009999958798,0.2780120000024908
952,COc1cc2c:C(c3sc(-c4c(F)ncc5nonc45)cc3OC):[nH]c2cc1OC,-4.905295,-3.108411,1.796883,0.9998756900353922,3.1636958574251315,0.33009999999922,0.5051389999935054
922,COc1cc2cc(C#CC3:nncc4nsnc:34)[nH]c2cc1OC,-5.243377,-3.0443,2.199077,1.0,3.32561060618782,0.284166000004916,0.2747779999990598
946,COc1cc2c:C(C=Cc3c(C#N)ccc4nonc34):[nH]c2cc1OC,-5.171875,-2.920348,2.251527,0.9999992482967848,2.9589679510021227,0.2162490000009711,0.2477139999973587
948,COc1cc2c:C(C=Cc3cccc4ncc(C#N)nc34):[nH]c2cc1OC,-4.89284,-2.623202,2.269638,0.9999852472470504,2.7787928257433467,0.2387349999989965,0.2957799999967392
930,COc1cc2c:C(N=Cc3cc(C#N)cc4nsnc34):[nH]c2cc1OC,-5.318796,-3.146199,2.172597,0.9999066139927952,3.216702104848276,0.2658880000017234,0.5735039999999572
951,COc1cc2c:C(C=Cc3cc(Br)cc4nsnc34):[nH]c2cc1OC,-4.922096,-2.563509,2.358587,0.999999419324045,2.91946854386895,0.2480309999955352,0.2920650000014575
953,COc1cc2c:C(C#Cc3cncc4nsnc34):[nH]c2cc1OC,-5.26457,-2.878333,2.386238,1.0,3.1393897270669413,100000.0,100000.0
928,COc1cc2cc(C=NC3:scc4nc(C#N)cnc:34)[nH]c2cc1OC,-5.163721,-2.911794,2.251927,0.999999847209851,3.262820874079045,0.2604920000012498,0.2994770000077551
945,COc1cc2c:C(N=Cc3c(F)ncc4nsnc34):[nH]c2cc1OC,-5.091825,-3.077439,2.014386,0.998125887815046,3.3300646977151045,0.3605180000013206,0.3499529999971855
800,COc1cc2cc(C=Cc3cncc4nonc34)[nH]c2cc1OC,-5.033909,-2.76238,2.271529,0.9998410173026668,2.980772144649359,0.2986619999974209,0.2853680000007443
857,COc1cc2c(ccn2C)c(C#Cc2cc(S(=O)(=O)O)cc3nsnc23)c1OC,-5.278067,-2.847424,2.430643,1.0,3.199511075367379,100000.0,100000.0
934,COc1cc2cc(C=Cc3c(C(F)(F)F)ncc4nonc34)[nH]c2cc1OC,-5.182413,-3.014795,2.167618,0.954894928054474,3.143769569979119,0.3101029999961611,0.2786039999991772
929,COc1cc2cc(-c3cc(OC)c(C4:occ5ncc(C#N)nc:45)s3)[nH]c2cc1OC,-4.953437,-2.770052,2.183385,0.983332621214857,3.277693159090729,0.2590499999932945,0.4757789999930537
940,COc1cc2cc(C3:nc(C=O)cc4nsnc:34)n(C)c2cc1OC,-5.235439,-2.961056,2.274384,0.9865044220752652,3.072393381355408,0.3072350000002188,0.2927680000066175
932,COc1cc2cc(-c3s:C(c4c(C(F)(F)F)ccc5nonc45):cc3OC)[nH]c2cc1OC,-4.859976,-2.828531,2.031445,0.9018143312114408,3.059527894033356,0.3620369999916875,0.3332880000016303
927,COc1cc2cc(-c3cc(OC)c(C4:occ5ncc(C#N)nc:45)s3)[nH]c2cc1OC,-4.952275,-2.701716,2.25056,0.9766751533836586,3.277693159090729,0.2534839999934775,0.3295489999945857
931,COc1cc2c(ccn2C)c(C=Cc2scc3nc(C#N)cnc23)c1OC,-5.058919,-2.784798,2.27412,0.9862679093181608,3.3201835042955645,0.2852109999948879,0.3525119999976596
1144,COc1cc2c:C(N=Cc3c(C#N)ncc4nonc34):[nH]c2cc1OC,-5.349519,-3.389052,1.960468,0.9999999993445736,3.340019643309814,0.2587889999995241,0.2392909999980474
1113,COc1cc2cc(C#CC3:scc4ncc(C=O)nc:34)[nH]c2cc1OC,-5.179346,-2.940125,2.239221,1.0,3.3571870279252,0.2846430000063265,0.3080809999955818
1135,COc1cc2cc(N=Cc3scc4nc(C#N)cnc34)n(C)c2cc1OC,-5.089961,-3.157301,1.93266,0.9999987750188392,3.40480867912074,0.2884860000049229,0.3534509999954025
1129,COc1cc2cc(C#Cc3occ4nc(C#N)cnc34)[nH]c2cc1OC,-5.278357,-3.033386,2.244971,1.0,3.422906412540584,100000.0,100000.0
1139,COc1cc2c:C(N=Cc3cc(C#N)cc4nonc34):[nH]c2cc1OC,-5.464082,-3.276648,2.187433,0.9999969286673132,3.185319335617507,0.2873269999981858,0.5634179999979096
1111,COc1cc2cc(C=NC3:c(C#N)ncc4nonc:34)[nH]c2cc1OC,-5.537198,-3.280577,2.256621,0.9999996418989314,3.2496651817713538,0.2480510000023059,0.2432249999983469
1158,COc1cc2cc(C=Cc3scc4nc(C)cnc34)[nH]c2cc1OC,-4.568849,-2.205024,2.363825,0.999999999394932,3.029391620792028,0.2873490000056335,0.3241130000096746
1126,COc1cc2c:C(N=Cc3c(C#N)ncc4nsnc34):[nH]c2cc1OC,-5.535922,-3.430281,2.105641,0.9999866472669824,3.377485489463661,0.2366439999968861,0.7020919999995385
1149,COc1cc2c:C(C=Cc3cncc4nsnc34):[nH]c2cc1OC,-4.890012,-2.679572,2.210439,0.9943302773818916,3.003636100693315,0.2805790000056731,0.3001319999966654
1014,COc1cc2cc(C=Nc3occ4nc(S(=O)(=O)O)cnc34)[nH]c2cc1OC,-5.272306,-3.019455,2.252851,0.9999998750688316,3.4386803781582813,0.4870420000006561,0.4486689999976079
1107,COc1cc2cc(-c3s:C(c4scc5nc(F)cnc45):cc3OC)[nH]c2cc1OC,-4.548715,-2.566218,1.982497,0.9988300952940669,3.220328236673791,0.2800219999917317,0.2979899999918416
1153,COc1cc2cc(C=Cc3cncc4nonc34)n(C)c2cc1OC,-4.991404,-2.735215,2.256189,0.9993032686662748,3.014030082330489,0.3015299999970011,0.2896489999984624
1125,COc1cc2cc(C=Cc3c(F)ccc4nsnc34)[nH]c2cc1OC,-4.758352,-2.415896,2.342456,0.9999787512424184,2.862660851561259,0.2684339999977965,0.3029080000051181
1161,COc1cc2c:C(N=Cc3nc(O)cc4nsnc34):[nH]c2cc1OC,-5.212107,-2.925336,2.28677,0.9999009427763924,3.4342916207920275,0.3008350000018254,0.3228779999990365
1100,COc1cc2cc(C=Cc3nc(F)cc4nonc34)n(C)c2cc1OC,-5.182159,-2.810291,2.371868,0.9999787917556188,3.158632607966778,0.2817829999985406,0.2699450000072829
1110,COc1cc2cc(C=NC3:cc(C#N)cc4nonc:34)[nH]c2cc1OC,-5.598923,-3.100866,2.498057,0.999997936268485,3.086594412540583,0.2552450000002864,0.2741860000023735
1115,COc1cc2cc(C=Cc3occ4nc(S)cnc34)[nH]c2cc1OC,-4.651094,-2.259286,2.391808,0.9999999980438335,3.4419050823304884,0.3401539999977103,0.331875999996555
1147,COc1cc2cc(N=Cc3nc(C(F)(F)F)cc4nonc34)[nH]c2cc1OC,-5.679347,-3.360356,2.318992,0.9998507806415804,3.3612032603393907,0.3281730000016978,0.7407820000007632
1154,COc1cc2c:C(N=Cc3cc(F)cc4nsnc34):[nH]c2cc1OC,-5.186235,-2.769897,2.416337,0.9998240980729088,3.11354354386895,0.3039800000042305,0.5856740000017453
1140,COc1cc2cc(C=Cc3c(C(F)(F)F)ncc4nsnc34)[nH]c2cc1OC,-5.025941,-2.925609,2.100332,0.9491079741716416,3.179338411264416,0.2906579999980749,0.2877299999963725
