Name,SMILES,HOMO /eV,LUMO /eV,EG /eV,Planarity,SA Score
87,COc1cnc2csc(C3:cc4cc(OC)c(OC)cc4[nH]:3)c2n1,-4.643779,-2.142294,2.501485,0.9999999991798691,2.8333692588395163
88,COc1cc2c:C(c3scc4ncc(C=O)nc34):[nH]c2cc1OC,-5.019845,-2.936939,2.082906,0.9999999989816648,2.988143171882996
89,COc1cc2c:C(c3scc4ncc(S(=O)(=O)O)nc34):[nH]c2cc1OC,-5.070201,-2.969642,2.100559,0.9985694380848754,3.102976170180204
90,COc1cc2c:C(c3scc4ncc(C(F)(F)F)nc34):[nH]c2cc1OC,-5.138019,-2.804155,2.333863,0.9999686935949637,2.9379053587998047
91,COc1cc2c:C(c3scc4ncc(F)nc34):[nH]c2cc1OC,-4.788978,-2.489113,2.299865,0.9999999982617664,2.960160052694114
92,COc1cc2c:C(c3scc4ncc(O)nc34):[nH]c2cc1OC,-4.686904,-2.254092,2.432813,0.9999999998661916,3.033406206540267
93,COc1cc2c:C(c3scc4ncc(S)nc34):[nH]c2cc1OC,-4.753443,-2.421088,2.332355,0.9999999997035084,3.1688320806661405
94,COc1cc2c:C(c3scc4ncc(Br)nc34):[nH]c2cc1OC,-4.866814,-2.61651,2.250304,0.9999999986669792,2.9434083044423645
95,COc1cc2c:C(c3scc4nccnc34):[nH]c2cc1OC,-4.732792,-2.398463,2.334329,0.9999999867692396,2.730829607186756
96,COc1cc2c:C(c3scc4ncc(C)nc34):[nH]c2cc1OC,-4.667456,-2.257643,2.409814,0.9999999992740668,2.784018094652154
97,COc1cc2c:C(c3scc4ncc(C#N)nc34):[nH]c2cc1OC,-5.255239,-3.089579,2.16566,0.9999864659472748,2.9783003625184463
98,COc1cc2c:C(c3scc4nc(OC(C)=O)cnc34):[nH]c2cc1OC,-4.760565,-2.390562,2.370003,0.9999670674911386,2.9600338553680263
99,COc1cc2c:C(c3scc4nc(NC(C)=O)cnc34):[nH]c2cc1OC,-4.868981,-2.370726,2.498256,0.9999976544687104,2.851289156823327
100,CNc1cnc2c(C3:cc4cc(OC)c(OC)cc4[nH]:3)scc2n1,-4.524784,-2.031921,2.492863,0.9999992097478309,2.9041190916154367
101,COc1cnc2c(C3:cc4cc(OC)c(OC)cc4[nH]:3)scc2n1,-4.665711,-2.145792,2.519919,0.9999999941378926,2.8465050447926945
102,COc1cc2c:C(c3scc4nc(C=O)cnc34):[nH]c2cc1OC,-4.91146,-2.900615,2.010845,0.9999999998242616,2.986182636765937
103,COc1cc2c:C(c3scc4nc(S(=O)(=O)O)cnc34):[nH]c2cc1OC,-5.350077,-3.205649,2.144428,0.9999983098800428,3.080439183878835
104,COc1cc2c:C(c3scc4nc(C(F)(F)F)cnc34):[nH]c2cc1OC,-5.273792,-2.864915,2.408877,0.9999951908515952,2.9525557276090773
105,COc1cc2c:C(c3scc4nc(F)cnc34):[nH]c2cc1OC,-4.857186,-2.500341,2.356845,0.999999999998702,2.9725041086381694
106,COc1cc2c:C(c3scc4nc(O)cnc34):[nH]c2cc1OC,-4.863395,-2.325226,2.538168,0.999998467952406,3.0274250876591493
107,COc1cc2c:C(c3scc4nc(S)cnc34):[nH]c2cc1OC,-4.777144,-2.408226,2.368918,0.9999999959909006,3.1811761366101976
108,COc1cc2c:C(c3scc4nc(Br)cnc34):[nH]c2cc1OC,-4.913349,-2.626299,2.28705,0.999999999832196,2.962069143603204
109,COc1cc2c:C(c3scc4nc(C)cnc34):[nH]c2cc1OC,-4.882389,-2.332408,2.549981,0.9999998086211864,2.7921789338129948
110,COc1cc2c:C(c3scc4nc(C#N)cnc34):[nH]c2cc1OC,-5.033466,-3.009198,2.024268,0.9999999994131076,2.990107720377978
138,COc1cc2c:C(c3c(OC(C)=O)ccc4nonc34):[nH]c2cc1OC,-5.028234,-2.510406,2.517828,0.9949114620969938,2.677989572623744
139,COc1cc2c:C(c3c(NC(C)=O)ccc4nonc34):[nH]c2cc1OC,-5.259125,-2.522837,2.736288,0.9291986871407332,2.636830944765116
140,CNc1ccc2nonc2c1C1:cc2cc(OC)c(OC)cc2[nH]:1,-4.778625,-2.113158,2.665467,0.9093986532704058,2.704178623388012
141,COc1cc2c:C(c3c(OC)ccc4nonc34):[nH]c2cc1OC,-5.02343,-2.473362,2.550069,0.9963547555035036,2.5646254461304867
142,COc1cc2c:C(c3c(C=O)ccc4nonc34):[nH]c2cc1OC,-5.373053,-2.913152,2.4599,0.9281838381829296,2.7534207638562407
143,COc1cc2c:C(c3c(S(=O)(=O)O)ccc4nonc34):[nH]c2cc1OC,-5.842931,-3.224171,2.618759,0.9154938089871912,2.752511049000015
144,COc1cc2c:C(c3c(C(F)(F)F)ccc4nonc34):[nH]c2cc1OC,-5.221965,-2.805972,2.415992,0.9631815783767678,2.7379308593266742
145,COc1cc2c:C(c3c(F)ccc4nonc34):[nH]c2cc1OC,-5.012911,-2.580495,2.432416,0.9999999945473728,2.6073642484983086
146,COc1cc2c:C(c3c(O)ccc4nonc34):[nH]c2cc1OC,-5.291297,-2.459815,2.831482,0.9348789341740958,2.635809703043764
147,COc1cc2c:C(c3c(S)ccc4nonc34):[nH]c2cc1OC,-5.078079,-2.531995,2.546084,0.9440220018085308,2.835112500246561
148,COc1cc2c:C(c3c(Br)ccc4nonc34):[nH]c2cc1OC,-5.121189,-2.659989,2.461201,0.9991808782972996,2.673219493253555
