Name,SMILES,Donor,Acceptor,D_A EG /eV,A_D EG /eV
6611,COc1cc2c(cc(C(=O)O)n2C)c(C=Nc2nc(C#N)cc3nonc23)c1OC,c1c(OC)c(OC)cc2c1cc(C(=O)O)n2C,c1nc(C#N)cc2nonc12,1.6043240000000003,6.897691
6612,CNc1ccc2c(c1C#Cc1cc3cc(OC)c(OC)cc3[nH]1)SCS2,c1c(NC)ccc2c1SCS2,c1cc2cc(OC)c(OC)cc2[nH]1,5.154013,4.650256000000001
6613,CNc1csc(C2:sc(-c3cc4cc(OC)c(OC)cc4[nH]3)cc:2OC)c1,c1cc(NC)cs1,c1cc2cc(OC)c(OC)cc2[nH]1,5.339527,4.925645
6614,COc1c:C(c2c(OC)c(OC)cc3cc(C(=O)O)[nH]c23):sc1-c1scc2nc(F)cnc12,c1scc2nc(F)cnc12,c1c(OC)c(OC)cc2cc(C(=O)O)[nH]c12,5.35567,2.9197519999999995
6615,COc1cc2cc(C(=O)O)n(C)c2c(C=Cc2c(Br)ccc3nccnc23)c1OC,c1c(OC)c(OC)cc2cc(C(=O)O)n(C)c12,c1c(Br)ccc2nccnc12,3.0437360000000004,5.794973
6616,COc1cc2cc(-c3cc(OC):C(c4c(OC)ccc5nsnc45):s3)[nH]c2cc1OC,c1c(OC)ccc2nsnc12,c1cc2cc(OC)c(OC)cc2[nH]1,6.428345,2.754877
6617,COc1cc2cc(C(=O)O)[nH]c2c(C=Cc2nc(S)cc3nonc23)c1OC,c1c(OC)c(OC)cc2cc(C(=O)O)[nH]c12,c1nc(S)cc2nonc12,2.278459,5.59319
6618,COc1cc(C2:sc(-c3cc4cc(OC)c(OC)cc4[nH]3)cc:2OC)c2ccccc2c1,c1cc(OC)cc2ccccc12,c1cc2cc(OC)c(OC)cc2[nH]1,5.641781,3.975576
6619,COc1cc(-c2c(OC)c(OC)cc3[nH]ccc23)sc1C1:nc(C#N)cc2nsnc:12,c1nc(C#N)cc2nsnc12,c1c(OC)c(OC)cc2[nH]ccc12,7.818127,1.4177340000000005
6620,COc1cc2cc(N=Cc3cc(C=O)cs3)n(C)c2cc1OC,c1cc2cc(OC)c(OC)cc2n1C,c1cc(C=O)cs1,3.250964025,7.266715082
6621,COc1cc2cc[nH]c2c(C=Cc2nc(Br)cc3nsnc23)c1OC,c1c(OC)c(OC)cc2cc[nH]c12,c1nc(Br)cc2nsnc12,1.7245750000000002,7.258799
6622,COc1cc2c(cc(C(=O)O)n2C)c(C=Cc2nccc3nonc23)c1OC,c1c(OC)c(OC)cc2c1cc(C(=O)O)n2C,c1nccc2nonc12,2.294026000000001,6.373023
6623,COc1cc2cc[nH]c2c(C=Nc2occ3ncc(C#N)nc23)c1OC,c1c(OC)c(OC)cc2cc[nH]c12,c1occ2ncc(C#N)nc12,1.823192,6.929897
